user_id,income,spending_score,saving_frequency,loan_behavior,age_group,employment_type,target_account,target_savings,target_loan,target_digital_service,income_to_spending_ratio,savings_capacity,financial_health_score
1,54034.13861719222,68.76567611951995,1.4780434200104624,0,1,0,0,0,3,3,774.5089221900889,798.648030390742,40.00977933955539
2,32512.781211782185,39.679105435652524,2.3465950259046715,1,1,1,2,0,3,0,799.2501522240186,762.9433066989493,39.25992520703528
3,60970.829903601,51.92241553881967,1.6698226229229611,3,3,0,0,0,2,1,1152.0794975595484,1018.1047111142074,33.14932811880219
4,122813.70406956364,40.75449422589915,3.9256307613543466,0,1,2,3,0,3,2,2941.328983776451,4821.212546113485,64.2631034914416
5,30111.947540010104,41.31007545135369,4.068107752835114,0,0,0,2,0,3,0,711.6968527893913,1224.9864724047934,45.896589923401514
6,30112.343039530668,43.816557530627215,3.925061229259954,2,4,0,0,0,0,0,671.902187466143,1181.9279018663767,37.1092795603006
7,128459.66620921556,54.44267543267426,4.5256348743912636,0,0,0,1,0,3,2,2316.9817330552182,5813.615453490868,63.85466790409079
8,67100.56769272883,40.42502756673045,4.234911206345108,0,3,2,0,1,3,1,1619.8074360877215,2841.6494607405584,53.804930437889894
9,24944.795725156306,75.11512251147042,2.061363265830553,0,1,0,2,0,3,0,327.724569074919,514.2028558148422,34.08866117439828
10,56052.724453164854,32.107853955609926,1.1740295296908403,4,3,1,0,0,0,0,1693.0340615951357,658.075537276394,31.13703315889267
11,25065.955397061934,46.26256711677282,2.4826108550803494,3,2,0,0,0,0,0,530.3553515222912,622.2901296170583,28.72589936621852
12,25019.635038996603,41.2053788345165,1.1213774949001312,1,4,3,0,0,3,0,592.806787426227,280.5645566334556,35.00560623069629
13,44071.55390989296,78.93955768707465,1.6765660233551123,2,4,4,0,0,0,0,551.310955239609,738.888698817897,28.379531291273885
14,15000.0,53.931095530231495,1.0124176607735083,1,0,1,2,0,3,0,273.0693763743471,151.86264911602623,30.23861621550072
15,15000.0,70.6368907893727,2.251523241236118,2,0,0,2,0,0,0,209.38932210365058,337.7284861854177,25.3756683245977
16,23159.72312200898,20.288792539260562,3.285833899501695,2,1,0,2,0,0,0,1087.8833583115656,760.9900333737035,39.145853915553076
17,16150.965396421829,55.341005317385175,1.88908839828141,2,3,0,0,0,0,0,286.6644871783663,305.1060135142499,27.940168812370153
18,46695.25656789534,67.79261591246873,4.759491652842039,0,4,0,0,1,3,0,678.7829761745079,2222.4568386221526,45.29951143676939
19,17563.54523706802,51.645679785508484,4.619524675485083,0,2,2,0,0,3,0,333.6179779352503,811.3523061163422,42.42262244128207
20,15000.0,71.30960750130703,3.3552196724204513,1,2,1,0,0,3,0,207.44131407059385,503.2829508630677,31.4485178445795
21,117303.3994614017,39.654230997992556,2.913305263540643,3,1,4,1,0,2,2,2885.3921616963794,3417.4061108211217,49.35644421976312
22,30314.425266544447,78.1869488037116,3.010360813901332,2,3,0,0,0,0,0,382.8209790187492,912.5735791834585,28.44621692036923
23,38331.318780738475,95.977962472385,3.2719066890772694,3,4,2,0,1,0,0,395.25803392346506,1254.1649831985137,23.014484639825238
24,15000.0,42.74322879120682,0.6764099286707154,5,1,0,2,0,0,0,342.9102152380501,101.4614893006073,15.804174099100067
25,23493.846631575143,41.08994957198456,3.3280396452018297,0,2,1,0,0,3,0,558.1818669417663,781.8845300817354,43.13685870232178
26,39685.37741578479,79.06768954235402,5.689403837780267,2,0,0,0,1,0,3,495.6478405036542,2257.861385731243,35.50234525024669
27,15000.0,81.59144291461425,1.6873682327409087,2,2,0,0,0,0,0,181.6168778587328,253.10523491113634,22.05644788255897
28,49048.18271561822,39.54279945693463,3.2347850774297826,5,2,0,0,1,0,0,1209.7877643530308,1586.6032952353119,28.370646806596284
29,22459.951032144232,41.596263658082854,2.5951423642259237,5,0,2,2,0,0,0,527.2751434827393,582.8677042195726,21.363022203264123
30,28757.244588384598,44.364307822789854,2.1073410761815943,2,2,4,0,0,0,0,633.9178523503824,606.0132275890372,33.093269505482134
31,22440.77084025114,23.11098977931446,4.4543893158488235,0,1,0,2,0,3,0,930.7278981762811,999.5992987022651,48.774734843884985
32,159823.05046210074,31.626961070316035,1.9252517781702654,3,2,0,1,0,2,2,4898.496372912509,3076.996120947555,57.489721434697486
33,35925.48532353084,29.917184664958643,4.215730229751967,0,2,0,0,1,3,0,1161.990838197133,1514.521544969196,49.63312059121838
34,15581.370125097976,34.64404869791743,3.147556062634345,3,0,1,2,0,0,0,437.1380551392959,490.432360014018,30.482576410704805
35,70125.09024094403,49.30630225226437,0.8917514806890405,4,3,0,0,0,1,1,1393.9623288012106,625.3415305581443,29.947260559114007
36,15000.0,54.684294650730415,1.8139749745536848,1,3,2,0,0,3,0,269.37577451747865,272.0962461830527,31.69109101896129
37,42919.900393919146,81.01000985628154,2.888520759798477,2,1,4,0,0,0,3,523.349533418349,1239.7502329631827,30.159019627124472
38,15000.0,30.03291918522418,1.9122046404901067,1,0,4,2,0,3,0,483.35768576815053,286.83069607351604,36.817825443935384
39,15000.0,69.68644796953167,2.5463202598101105,1,3,0,0,0,3,0,212.20474972042058,381.94803897151655,30.155350925713886
40,42509.760556402456,45.72022311548982,2.6260915795931457,1,4,3,0,0,3,0,909.8792283444509,1116.3452424768932,40.61009064736882
41,65563.42436287261,49.01072580695134,1.868577020761625,3,1,2,0,0,2,1,1310.9872593322668,1225.1030816690663,35.04769375270751
42,41651.58178695436,63.496389843332075,1.235656832485277,4,1,0,0,0,0,3,645.7971041190065,514.6706161886948,22.102352053695007
43,33106.382716487475,27.54555956875403,3.5909026670109476,4,1,1,2,0,0,0,1159.7734714833098,1188.8179799172,32.293969963568586
44,28541.574095692802,57.64819492368101,0.07247912732123117,0,2,3,0,0,3,0,486.65733246920894,20.68668382830072,34.32363408904482
45,15000.0,53.32904416426112,2.2541229173963977,3,1,0,2,0,0,0,276.0954150904672,338.11843760945965,24.842437001940574
46,20417.02995478337,59.849025280162984,3.6825840320907783,2,1,0,2,0,0,0,335.53585880428886,751.8742849420435,31.478768999105633
47,25121.74245019867,55.783372878156364,4.700537573475749,0,3,0,0,0,3,0,442.41370628166044,1180.8569429833958,43.26874906135996
48,84600.69671608608,99.10600279821789,2.3340795938545686,0,2,1,1,0,3,1,845.1111257195474,1974.6475983089572,41.76709797128277
49,47805.43579883072,37.24520031497368,6.04550623924786,0,1,0,0,1,3,3,1249.97216396103,2890.0806039179415,54.20305957526713
50,15000.0,39.380060899963645,1.1161825582150755,4,2,4,0,0,0,0,371.4704650188753,167.42738373226132,21.35635293643742
51,47064.16561716815,37.53718947150471,2.9180063638815756,2,2,2,0,0,0,0,1221.266165555962,1373.335347816731,39.74140795689584
52,26687.062480597546,38.890457616794905,2.436788503320044,2,0,1,2,0,0,0,669.0086821506306,650.3072704010378,34.432897979400614
53,21130.2808015024,37.252257453869646,0.9117290073823889,0,0,0,2,0,3,0,552.3930405149156,192.6508994086493,38.59906268429133
54,59239.33430555274,73.78033062215104,3.4238261216894417,2,4,1,0,1,0,0,792.1780207803089,2028.2518022684492,35.93945298005922
55,82851.04351409052,78.4100849597971,2.6135836388741653,0,0,0,1,0,3,1,1043.3315057657408,2165.381317920785,46.115358988607014
56,76498.32279247839,38.58507412501048,1.0545421749979744,1,3,0,1,0,3,1,1932.504219921254,806.7070770127727,45.691734083489536
57,18557.438434300308,33.352888537915426,3.394195895177768,2,4,1,0,0,0,0,540.2002342195588,629.8758135871626,35.829301769632515
58,28357.025721541115,59.42831112772808,0.6674404650508572,0,1,0,2,0,3,0,469.26722247131005,189.2662643504452,35.12062384886432
59,47335.25970702338,38.95553911438057,3.9484478584956024,3,1,1,0,1,0,3,1184.698311078144,1869.0080482152966,37.572839835519765
60,79255.81795274527,62.65863635511022,1.7015973446901886,0,2,0,1,0,3,1,1245.012813510935,1348.6148937964035,46.72263100890739
61,24751.976161630584,54.058460417026,6.912093386389426,2,4,0,0,0,0,0,449.5580874247695,1710.8797072687548,39.96288992169978
62,31303.11269376789,19.68511770005536,1.701650430716367,1,4,0,0,0,3,0,1513.3156672192447,532.669551981131,41.726899860175244
63,15000.0,80.95010402660122,2.5965807209419904,2,3,4,0,0,0,0,183.03820572492452,389.4871081412986,24.003140636563735
64,15000.0,85.91755346191044,3.4085924943352577,0,0,1,2,0,3,0,172.57733797780438,511.2888741502887,32.633674296288426
